ID,name,threat,Source
mmiihbbcfcdnleiddmjhnbpdnbiffomo,Whatodo,Search Change - Bing,Nicole [Store](https://chrome.google.com/webstore/detail/whatodo/mmiihbbcfcdnleiddmjhnbpdnbiffomo)
ampdcpljfimadppoegganahbpkjoekkb,Budget Buddy,Search Change - Bing,Nicole [Store](https://chrome.google.com/webstore/detail/budgetbuddy/ampdcpljfimadppoegganahbpkjoekkb)
ngkkmecnclnfjahkfbabbjhdeodpajmg,Retro Car Cover,Search Change - Bing,Nicole [Store](https://chrome.google.com/webstore/detail/retro-car-cover/ngkkmecnclnfjahkfbabbjhdeodpajmg)
mbonhaimbjdhphgdpfihdanaimpiooan,R1 adblocker,Fakeapp Old risk,Nicole[REviews](https://chrome-stats.com/d/mbonhaimbjdhphgdpfihdanaimpiooan/reviews)
kllohiclobgoaffphlofnjdlabflpgha,Adzbuzz Ad Block,Fakeapp UBO Old risk,Nicole [Reviews](https://chrome-stats.com/d/kllohiclobgoaffphlofnjdlabflpgha)
jhpheijfhpbkaejncokigfaihgdndjhg,SimpleBlock,Old app-UBO,Nicole [store](https://chrome.google.com/webstore/detail/simpleblock/jhpheijfhpbkaejncokigfaihgdndjhg)
ldjhogknogpdklogdocbicnlpljekejl,adblock-unicorn,Fakeapp UBO malware,Nicole [Reviews](https://chrome-stats.com/d/ldjhogknogpdklogdocbicnlpljekejl/reviews)
hhmnengcgekecnlielgcfcbjanjlnifg,Adware - changes search,websmartfinder, Nicole
ngkkmecnclnfjahkfbabbjhdeodpajmg,Search Change - Bing,Bing search, Nicole
ehdjjkgfcihfheoeechicjlchbdhecdb,Search Change - Bing,Bing search, Nicole
fmaicbnbcbjgbpecclcnaehmbpjpdane,Fakeapp,Malware,Nicole
kllohiclobgoaffphlofnjdlabflpgha,Fakeapp,Old risk,Nicole
mbonhaimbjdhphgdpfihdanaimpiooan,Fakeapp,Old risk,Nicole
jdiegbdfmhkofahlnojgddehhelfmadj,Fakeapp-ubo,Fake UBO,Nicole

