extensionID,link,source
bhghoamapcdpbohphigoooaddinpkbai,https://chrome.google.com/webstore/detail/bhghoamapcdpbohphigoooaddinpkbai,https://github.com/nicoleahmed/malicious-extensions-list/blob/main/testliveextensions.csv
dnfpooaobokpdfndnhcbegdocljdghcc,https://chrome.google.com/webstore/detail/dnfpooaobokpdfndnhcbegdocljdghcc,https://github.com/nicoleahmed/malicious-extensions-list/blob/main/testliveextensions.csv
eimadpbcbfnmbkopoojfekhnkhdbieeh,https://chrome.google.com/webstore/detail/eimadpbcbfnmbkopoojfekhnkhdbieeh,https://github.com/nicoleahmed/malicious-extensions-list/blob/main/testliveextensions.csv
fndokfnecpehdehdjpdldadienbcjllf,https://chrome.google.com/webstore/detail/fndokfnecpehdehdjpdldadienbcjllf,https://github.com/nicoleahmed/malicious-extensions-list/blob/main/testliveextensions.csv
ldipcbpaocekfooobnbcddclnhejkcpn,https://chrome.google.com/webstore/detail/ldipcbpaocekfooobnbcddclnhejkcpn,https://github.com/nicoleahmed/malicious-extensions-list/blob/main/testliveextensions.csv
pmeknoingfjncbdhempgnkdgojickcko,https://chrome.google.com/webstore/detail/pmeknoingfjncbdhempgnkdgojickcko,https://github.com/nicoleahmed/malicious-extensions-list/blob/main/testliveextensions.csv
aeilijiaejfdnbagnpannhdoaljpkbhe,https://chrome.google.com/webstore/detail/aeilijiaejfdnbagnpannhdoaljpkbhe,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
afdfpkhbdpioonfeknablodaejkklbdn,https://chrome.google.com/webstore/detail/afdfpkhbdpioonfeknablodaejkklbdn,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
anflghppebdhjipndogapfagemgnlblh,https://chrome.google.com/webstore/detail/anflghppebdhjipndogapfagemgnlblh,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
anmbbeeiaollmpadookgoakpfjkbidaf,https://chrome.google.com/webstore/detail/anmbbeeiaollmpadookgoakpfjkbidaf,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
bebmphofpgkhclocdbgomhnjcpelbenh,https://chrome.google.com/webstore/detail/bebmphofpgkhclocdbgomhnjcpelbenh,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
bmkgbgkneealfabgnjfeljaiegpginpl,https://chrome.google.com/webstore/detail/bmkgbgkneealfabgnjfeljaiegpginpl,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
ccjlpblmgkncnnimcmbanbnhbggdpkie,https://chrome.google.com/webstore/detail/ccjlpblmgkncnnimcmbanbnhbggdpkie,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
cclhgechkjghfaoebihpklmllnnlnbdb,https://chrome.google.com/webstore/detail/cclhgechkjghfaoebihpklmllnnlnbdb,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
cfegchignldpfnjpodhcklmgleaoanhi,https://chrome.google.com/webstore/detail/cfegchignldpfnjpodhcklmgleaoanhi,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
cfllfglbkmnbkcibbjoghimalbileaic,https://chrome.google.com/webstore/detail/cfllfglbkmnbkcibbjoghimalbileaic,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
cjljdgfhkjbdbkcdkfojleidpldagmao,https://chrome.google.com/webstore/detail/cjljdgfhkjbdbkcdkfojleidpldagmao,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
coabfkgengacobjpmdlmmihhhfnhbjdm,https://chrome.google.com/webstore/detail/coabfkgengacobjpmdlmmihhhfnhbjdm,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
dcaffjpclkkjfacgfofgpjbmgjnjlpmh,https://chrome.google.com/webstore/detail/dcaffjpclkkjfacgfofgpjbmgjnjlpmh,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
djekgpcemgcnfkjldcclcpcjhemofcib,https://chrome.google.com/webstore/detail/djekgpcemgcnfkjldcclcpcjhemofcib,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
dkbccihpiccbcheieabdbjikohfdfaje,https://chrome.google.com/webstore/detail/dkbccihpiccbcheieabdbjikohfdfaje,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
dlpimjmonhbmamocpboifndnnakgknbf,https://chrome.google.com/webstore/detail/dlpimjmonhbmamocpboifndnnakgknbf,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
dmbjkidogjmmlejdmnecpmfapdmidfjg,https://chrome.google.com/webstore/detail/dmbjkidogjmmlejdmnecpmfapdmidfjg,https://github.com/palant/malicious-extensions-list/blob/main/list.txt
